,N1,N2,N3,N4,N5,Powerball
6,20,28,39,50,61,22
15,18,24,25,35,49,16
22,13,27,50,59,64,24
31,13,21,27,46,60,14
38,2,13,35,54,69,20
39,7,9,31,35,49,25
40,17,20,39,41,52,23
57,8,22,48,50,62,21
61,3,17,25,53,63,20
62,5,28,37,48,63,25
0,25,31,33,64,68,23
2,10,36,38,42,58,23
3,5,8,33,42,50,18
8,4,11,19,38,66,20
18,1,9,34,38,60,25
22,5,18,29,38,39,23
27,1,14,32,54,59,19
33,1,3,6,46,61,21
35,7,8,23,45,50,25
40,3,16,17,48,67,22
61,4,11,15,39,49,22
6,5,12,13,22,52,25
16,9,15,16,21,39,23
29,1,8,26,38,59,23
36,1,15,16,32,56,23
38,2,11,40,50,65,22
41,3,11,21,41,64,20
47,5,14,22,37,62,25
54,2,23,35,40,55,20
55,14,27,40,52,60,25
58,6,7,27,59,62,25
1,5,8,10,35,61,23
9,26,30,36,37,56,18
13,2,13,30,40,58,25
17,1,2,9,23,64,25
21,13,30,34,40,56,20
23,2,7,10,43,61,23
28,24,29,41,43,63,21
31,9,10,46,48,59,22
33,29,32,35,42,48,17
58,10,24,41,56,60,20
2,5,10,15,49,66,21
14,6,28,34,46,49,21
25,3,9,14,28,31,25
35,2,14,42,55,66,24
36,1,3,32,39,42,22
39,2,5,9,41,52,18
41,7,9,30,39,69,15
42,8,14,16,37,38,21
46,7,16,29,46,52,19
62,6,17,39,57,60,18
8,3,16,22,24,35,25
9,7,8,11,33,59,25
19,4,27,37,50,67,20
20,17,24,25,28,35,22
33,11,14,44,51,53,20
48,21,23,25,46,62,15
51,6,13,37,51,65,23
57,4,23,36,52,55,24
5,2,3,19,45,57,21
10,32,37,39,56,68,24
12,21,27,40,49,58,20
19,9,18,20,27,56,23
20,27,31,32,45,53,21
26,2,6,38,40,56,20
28,8,10,15,21,38,25
30,16,17,28,35,64,20
35,14,16,37,46,68,22
40,4,7,9,43,47,23
56,6,26,35,37,45,18
0,3,4,15,20,29,24
2,12,14,48,60,62,24
13,14,26,36,40,52,20
14,12,14,24,36,45,23
27,5,7,14,34,37,19
33,2,12,15,16,17,22
40,4,8,25,39,66,21
41,2,5,47,53,64,22
44,3,19,21,58,67,23
49,4,5,6,34,56,21
58,1,6,15,17,28,23
2,2,3,7,46,59,24
6,7,9,14,15,17,20
12,12,17,25,50,65,24
21,2,3,52,56,68,23
33,1,17,23,30,58,25
36,1,19,21,23,33,24
41,5,8,20,30,50,21
44,1,8,38,49,50,24
46,9,12,31,52,54,22
57,9,12,18,22,50,19
61,9,24,29,49,66,25
62,2,21,30,36,45,25
64,2,4,13,21,57,22
2,1,21,22,41,55,24
8,16,17,28,46,50,23
16,5,16,18,56,58,24
22,6,19,23,49,51,20
29,17,25,26,44,51,19
35,12,13,22,41,64,21
36,2,16,26,50,61,23
40,7,19,27,64,66,20
41,3,24,30,32,48,25
43,13,17,26,31,41,23
45,5,17,24,49,53,25
63,11,16,31,32,33,21
5,3,11,31,57,67,25
21,23,26,30,48,52,21
32,4,8,36,47,48,22
33,17,22,28,40,68,20
34,9,16,30,53,58,20
35,4,21,33,35,69,24
55,12,17,30,37,45,22
56,5,17,50,58,62,23
12,18,27,43,45,50,24
24,13,14,18,40,66,25
29,5,22,48,57,63,24
32,17,28,29,37,58,23
33,10,26,39,51,58,21
35,7,9,28,37,68,24
46,7,30,52,54,67,25
57,1,2,31,38,47,25
2,5,20,40,65,69,25
3,1,11,28,32,48,22
8,11,13,31,32,55,22
48,10,29,37,50,68,25
53,10,12,13,30,32,22
56,1,14,31,48,63,20
57,9,10,13,29,42,25
58,4,11,15,55,56,25
4,35,40,41,47,59,23
12,1,8,26,30,48,23
29,3,7,15,17,69,19
35,4,13,16,45,47,22
38,16,20,37,44,52,22
56,3,14,22,29,69,25
57,16,27,37,45,64,25
4,16,23,24,35,60,14
14,7,19,24,48,65,25
31,11,20,22,41,59,24
32,17,18,20,30,33,21
35,4,9,45,56,63,20
39,7,17,25,34,63,16
41,2,16,20,27,50,19
44,3,6,27,31,33,22
52,8,12,45,52,59,19
53,4,21,32,43,45,24
58,24,30,32,33,53,14
20,2,10,36,40,52,24
24,5,9,22,40,61,25
30,16,20,30,34,39,24
35,28,30,35,48,61,22
38,30,31,38,39,58,18
40,11,13,21,37,60,16
51,13,22,26,31,52,24
53,1,7,18,19,33,22
55,8,20,40,45,51,23
61,3,12,29,38,57,24
6,22,28,31,41,53,23
11,8,9,11,22,63,21
16,14,18,27,34,43,21
17,11,16,31,33,58,24
20,1,14,25,30,42,24
28,15,22,24,47,49,18
31,8,12,31,37,63,22
32,7,11,37,47,56,22
50,3,6,12,34,41,18
51,4,8,14,22,37,20
53,3,22,25,61,69,24
2,6,13,21,39,49,22
8,11,12,29,58,64,19
13,10,21,28,40,52,25
24,5,27,28,34,61,24
32,1,13,35,36,40,19
33,9,11,22,36,38,25
35,5,12,26,40,59,23
42,6,12,28,63,65,21
44,7,25,28,54,65,22
58,6,25,29,41,51,23
63,21,27,31,39,42,23
2,22,29,31,55,68,21
10,5,8,12,45,61,23
11,8,10,21,23,36,17
23,9,27,34,36,54,17
33,3,12,36,50,54,23
40,7,12,14,25,31,18
42,1,30,34,37,53,18
49,6,33,38,44,55,23
53,1,16,24,41,67,25
54,3,13,16,22,23,19
57,2,3,5,20,23,25
58,2,15,21,28,56,22
60,1,15,31,52,57,21
17,2,8,12,32,55,24
25,8,14,30,40,54,25
29,10,15,21,47,58,24
35,2,10,31,47,65,22
36,3,5,31,54,55,21
50,2,3,13,23,40,24
8,10,12,39,44,62,23
16,4,13,52,62,65,24
17,7,10,11,43,44,20
22,4,8,29,47,68,19
23,2,11,29,35,36,23
30,1,27,28,52,62,23
32,6,12,47,49,60,18
37,1,15,23,29,59,19
40,1,19,21,39,55,24
41,1,2,28,32,51,18
42,16,24,30,50,69,22
53,4,10,27,64,69,16
16,8,15,17,48,58,24
23,13,16,27,38,53,25
36,5,29,36,49,66,25
40,9,12,16,65,67,21
45,17,23,32,45,56,24
49,7,18,22,35,69,23
62,5,18,19,53,54,22
10,11,15,31,32,35,21
14,1,13,17,58,66,21
16,7,33,34,44,54,21
20,16,24,44,62,65,25
29,17,24,32,35,62,21
32,8,19,27,42,44,23
36,3,5,37,59,66,22
39,12,18,21,23,26,25
46,1,19,33,54,56,22
50,5,26,27,34,48,24
51,1,22,34,36,62,25
53,8,14,17,28,59,22
56,5,8,13,43,66,22
2,23,30,32,33,39,22
6,10,13,38,59,63,23
8,10,18,25,54,63,22
10,13,28,32,50,66,23
12,20,26,30,52,68,21
20,11,28,37,47,57,24
21,7,11,34,40,43,23
24,15,18,26,33,55,22
28,15,18,30,32,58,23
30,18,19,25,34,49,21
36,26,29,39,42,59,25
40,1,8,23,42,56,24
46,9,15,19,37,62,22
58,10,14,23,41,47,21
59,1,10,19,48,51,23
2,17,25,43,50,56,21
19,3,13,15,28,61,22
21,9,26,29,34,35,22
25,6,9,18,27,60,19
32,19,32,33,53,63,25
40,4,11,33,49,61,22
50,5,19,21,24,34,25
6,2,12,47,52,62,25
16,13,14,16,29,57,22
19,1,28,31,36,49,24
26,7,12,16,54,68,23
30,5,11,25,48,69,15
33,17,35,37,46,55,19
35,9,16,38,53,66,19
38,3,18,20,40,47,23
40,21,28,32,51,66,22
41,5,9,23,32,48,22
45,11,12,13,42,46,20
46,8,11,13,41,46,25
47,11,13,26,29,57,20
48,2,7,42,54,58,16
61,17,18,21,59,67,23
0,6,18,24,32,52,25
8,1,17,19,40,45,25
16,12,17,25,30,47,24
24,8,14,26,36,66,19
27,11,30,33,63,65,23
29,2,9,33,47,52,22
33,11,12,14,22,48,23
35,1,11,14,45,46,24
39,19,29,34,36,47,25
40,10,19,23,51,53,24
53,4,6,18,28,57,22
58,11,17,37,60,67,23
61,7,18,22,52,62,25
3,9,18,22,60,66,21
6,10,12,18,20,47,21
10,23,33,38,43,57,25
15,12,16,18,28,68,23
18,11,18,41,42,47,21
20,1,6,36,41,44,18
23,1,10,15,61,63,20
28,16,25,30,42,62,20
32,19,25,46,51,60,24
36,12,17,46,59,67,23
45,6,18,37,42,69,25
0,14,15,28,46,49,24
20,2,20,42,54,56,24
21,22,27,36,44,57,23
24,2,14,19,23,26,24
37,5,14,47,51,59,24
46,14,23,35,47,59,25
51,19,27,40,48,63,23
52,1,8,26,61,68,25
59,9,14,15,29,31,21
2,3,7,15,40,61,25
5,8,21,23,44,69,19
33,2,3,20,32,57,21
40,7,22,35,38,66,20
43,6,27,33,45,67,20
44,2,6,37,38,63,22
49,14,17,19,25,41,24
17,12,13,28,51,59,20
21,1,16,30,38,62,22
24,6,32,35,41,47,25
25,4,13,14,28,62,24
27,15,22,25,27,62,24
41,5,11,18,47,65,19
44,18,31,39,55,56,24
56,3,10,43,51,56,17
64,11,20,28,54,57,25
14,3,7,11,43,65,23
28,16,19,36,65,67,24
34,9,19,39,48,60,25
41,4,33,36,49,54,24
42,9,12,22,27,59,25
43,11,22,35,36,50,23
46,13,22,34,36,55,23
50,2,3,6,27,55,25
55,23,26,36,48,59,18
61,20,29,30,54,55,18
63,4,29,38,40,61,24
1,13,17,23,35,43,21
14,11,16,22,46,51,20
16,5,13,38,41,54,25
20,11,12,39,54,61,25
